Stop ID,Neighborhood,Station Name,Line,canTransfer,Latitude,Longitude,Express,Accessibility
0,4 Avenue,25th St,R,False,40.660396999999996,-73.998091,local,NEITHER
1,4 Avenue,36th St,D,True,40.655144,-74.00354899999999,express,NEITHER
2,4 Avenue,36th St,N,True,40.655144,-74.00354899999999,express,NEITHER
3,4 Avenue,36th St,R,True,40.655144,-74.00354899999999,local,NEITHER
4,4 Avenue,45th St,R,False,40.648939,-74.010006,local,NEITHER
5,4 Avenue,53rd St,R,False,40.645069,-74.014034,local,NEITHER
6,4 Avenue,59th St,N,True,40.641362,-74.017881,express,NEITHER
7,4 Avenue,59th St,R,True,40.641362,-74.017881,local,NEITHER
8,4 Avenue,77th St,R,False,40.629742,-74.02551,local,NEITHER
9,4 Avenue,86th St,R,False,40.622687,-74.028398,local,NEITHER
10,4 Avenue,95th St,R,False,40.616622,-74.030876,local,NEITHER
11,4 Avenue,4th Av - 9th St,F,True,40.670846999999995,-73.988302,local,NEITHER
12,4 Avenue,4th Av - 9th St,G,True,40.670846999999995,-73.988302,local,NEITHER
13,4 Avenue,4th Av - 9th St,R,True,40.670846999999995,-73.988302,local,NEITHER
14,4 Avenue,Atlantic Av - Barclays Center,B,True,40.683665999999995,-73.97881,express,BOTH
15,4 Avenue,Atlantic Av - Barclays Center,Q,True,40.683665999999995,-73.97881,local,BOTH
16,4 Avenue,Atlantic Av - Barclays Center,D,True,40.683665999999995,-73.97881,express,BOTH
17,4 Avenue,Atlantic Av - Barclays Center,N,True,40.683665999999995,-73.97881,express,BOTH
18,4 Avenue,Atlantic Av - Barclays Center,R,True,40.683665999999995,-73.97881,local,BOTH
19,4 Avenue,Atlantic Av - Barclays Center,2,True,40.683665999999995,-73.97881,express,BOTH
20,4 Avenue,Atlantic Av - Barclays Center,3,True,40.683665999999995,-73.97881,express,BOTH
21,4 Avenue,Atlantic Av - Barclays Center,4,True,40.683665999999995,-73.97881,express,BOTH
22,4 Avenue,Atlantic Av - Barclays Center,5,True,40.683665999999995,-73.97881,express,BOTH
23,4 Avenue,Bay Ridge Av,R,False,40.634966999999996,-74.023377,local,NEITHER
